Order ID,Quantity Ordered,Price Each,Order Date,Order Time,Purchase Address ID,Product ID,Customer ID
176558,2,11.95,4/19/2019,8:46:00 AM,1,1,209
176562,1,11.95,4/29/2019,1:03:00 PM,6,1,219
150323,1,11.95,1/15/2019,11:31:00 PM,6,1,488
176564,1,11.95,4/12/2019,10:58:00 AM,8,1,222
193533,1,11.95,4/12/2019,10:07:00 PM,9,1,105
176559,1,99.99,4/7/2019,10:30:00 PM,3,2,33
176563,1,99.99,4/2/2019,7:46:00 AM,7,2,24
176560,1,600.0,4/12/2019,2:38:00 PM,4,3,78
150323,1,600.0,1/15/2019,11:31:00 PM,6,3,466
176567,1,600.0,4/18/2019,5:18:00 PM,11,3,454
176560,1,11.99,4/12/2019,2:38:00 PM,4,4,10
176561,1,11.99,4/30/2019,9:27:00 AM,5,4,177
176566,1,11.99,4/8/2019,2:05:00 PM,10,4,456
144213,1,11.99,1/19/2019,12:22:00 PM,10,4,490
176565,1,1700.0,4/24/2019,10:38:00 AM,9,5,389
144376,1,14.95,1/3/2019,1:40:00 PM,9,6,128
176568,1,14.95,4/15/2019,12:18:00 PM,12,6,449
143264,1,2.99,1/20/2019,5:34:00 PM,6,10,72
176569,1,389.99,4/16/2019,7:23:00 PM,13,7,102
150323,1,150.0,1/15/2019,11:31:00 PM,6,9,420
176570,1,3.84,4/22/2019,3:09:00 PM,14,8,89
176571,1,14.95,4/19/2019,2:29:00 PM,15,6,176
176572,1,150.0,4/4/2019,8:30:00 PM,16,9,193
176573,1,11.95,4/27/2019,6:41:00 PM,17,1,167
312983,1,3.84,12/8/2019,7:54:00 PM,17,8,466
176574,1,600.0,4/3/2019,7:42:00 PM,18,3,113
176574,1,11.95,4/3/2019,7:42:00 PM,18,1,7
305050,1,109.99,12/31/2019,1:31:00 PM,18,14,384
143824,1,109.99,1/20/2019,6:39:00 PM,18,14,490
176575,1,2.99,4/27/2019,12:30:00 AM,19,10,209
176576,1,150.0,4/28/2019,11:42:00 AM,20,9,28
176577,1,150.0,4/4/2019,7:25:00 PM,21,9,401
176578,1,150.0,4/9/2019,11:35:00 PM,22,9,214
176579,1,3.84,4/11/2019,10:23:00 AM,23,8,361
176580,1,11.95,4/5/2019,12:35:00 AM,24,1,355
176581,1,700.0,4/9/2019,9:38:00 PM,25,11,491
246774,1,3.84,8/5/2019,3:52:00 PM,25,8,239
176582,1,99.99,4/27/2019,12:20:00 PM,26,2,113
240374,1,300.0,8/27/2019,10:02:00 PM,26,12,328
176583,2,2.99,4/20/2019,12:00:00 PM,27,10,184
176584,1,300.0,4/24/2019,8:39:00 PM,28,12,90
295684,4,2.99,12/4/2019,12:29:00 PM,28,10,374
143618,1,3.84,1/13/2019,12:20:00 PM,28,8,29
169171,1,150.0,3/28/2019,1:24:00 PM,28,9,450
176585,1,99.99,4/7/2019,11:31:00 AM,29,2,90
176585,1,99.99,4/7/2019,11:31:00 AM,29,2,205
176586,2,2.99,4/10/2019,5:00:00 PM,30,10,432
176586,1,600.0,4/10/2019,5:00:00 PM,30,3,245
191736,1,11.95,4/5/2019,2:17:00 PM,30,1,424
176587,1,149.99,4/29/2019,7:38:00 PM,31,13,4
176588,1,109.99,4/2/2019,4:00:00 AM,32,14,32
176589,1,14.95,4/4/2019,12:23:00 PM,33,6,251
176590,1,600.0,4/11/2019,11:46:00 AM,34,3,192
176591,1,150.0,4/21/2019,7:21:00 AM,35,9,103
176592,1,11.95,4/27/2019,1:04:00 PM,36,1,312
176593,2,14.95,4/15/2019,1:45:00 PM,37,6,349
176594,1,11.99,4/17/2019,11:04:00 PM,38,4,440
176595,3,11.99,4/2/2019,9:11:00 AM,39,4,328
176596,1,150.0,4/27/2019,8:11:00 PM,40,9,8
176597,1,11.95,4/19/2019,1:39:00 PM,41,1,242
313730,1,11.99,12/7/2019,9:12:00 AM,41,4,96
176598,2,2.99,4/21/2019,8:33:00 PM,42,10,358
160783,1,149.99,2/8/2019,8:32:00 PM,42,13,89
176599,1,14.95,4/11/2019,3:25:00 PM,43,6,173
176600,1,389.99,4/30/2019,3:54:00 PM,44,7,210
176601,1,11.95,4/2/2019,10:32:00 PM,45,1,474
296924,1,700.0,12/22/2019,9:36:00 PM,45,11,451
176602,1,14.95,4/30/2019,9:39:00 AM,46,6,223
